year,value
1950,536003.0139081478
1951,304560.8991947174
1952,133399.28786867857
1953,335875.4864899516
1954,218268.97856724262
1955,386041.669239521
1956,178798.54355955124
1957,202933.12012386322
1958,252308.87673079967
1959,299400.8888235986
1960,346191.0333895683
1961,362906.51730155945
1962,132534.61140966415
1963,32155.59164273739
1964,296775.18982315063
1965,82528.08709812164
1966,265318.6640293598
1967,237117.12244659662
1968,222086.2536611557
1969,97125.55266273022
1970,676019.5174834728
1971,60060.32113301754
1972,92264.00475549698
1973,257044.7363564521
1974,137296.70198994875
1975,223025.00079196692
1976,199015.02264010906
1977,465615.28405201435
1978,126263.88412183523
1979,379128.7736828625
1980,380101.1554778218
1981,302740.77795249224
1982,142577.7371173799
1983,85898.31262755394
1984,206559.92611137033
1985,568393.5881309509
1986,109078.95340108871
1987,862910.9121619463
1988,319397.0332098305
1989,135315.7763671875
1990,371259.0187898874
1991,39935.720667123795
1992,224134.7033252716
1993,324664.26844533905
1994,377553.175352782
1995,198309.00706636906
1996,661684.9214488566
1997,217847.45374548435
1998,165354.68050026894
1999,800422.8144628406
2000,244221.03657020628
2001,246939.6612963304
2002,963898.5079631908
2003,970479.2953034677
2004,265733.10249371827
2005,255532.7576173544
2006,743049.7443061471
2007,1040224.2963646762
2008,1382444.8397286758
2009,435509.3817926049
2010,101474.397298038
2011,202426.79858809535
2012,754770.0596586838
2013,555553.3477004766
2014,519450.0386008099
2015,789205.9940303203
2016,545926.9388296977
2017,1424559.3794136697
