year,acres
2018,213
2017,953928.7947297301
2016,525516.8863530312
2015,637201.0193733858
2014,547638.0871440293
2013,539470.1189999998
2012,1012003.0412072885
2011,220591.7047728459
2010,102131.76955596938
2009,535934.7770134427
2008,1306169.05
2007,995097.1300000001
2006,751801.99003136
2005,251827.4
2004,265026.502553997
2003,998634.2999999999
2002,970166.8999999998
2001,183257.09
2000,161522.3
1999,482245.6800705703
1998,26124
1997,126795.92683590787
1996,397832.8689244578
1995,59233.22503297182
1994,218056
1993,88741.25
1992,64556.310766044255
1991,15936.568865199479
1990,84080.15531389849
1989,59963
1988,83360.53505103427
1987,748897.763729432
1986,38209.585191019054
1985,391845.9756071695
1984,38187.575132470556
1983,15220.280759474157
1982,7090.209825038838
1981,37698.48115411363
1980,47773.12990730424
1979,50364.81358605973
1978,23757.64867472375
1977,188688.44739318758
1976,22834.372662411595
1975,45823.89649351897
1974,22159.8579948273
1973,81762.92981095373
1972,36932.11
1971,30982.290466436712
1970,299527.74889135966
1969,333.41790716120397
1968,4387.465303135145
1967,977.565592240307
1966,857
1965,163.1830043857531
1964,104
1963,409.3011392882188
1962,354
1961,631.2109232170669
1960,96660
1959,18458.381627701314
1958,679.9436837203075
1957,9828.882515215364
1956,542
1955,1501.34
1954,13652.091144486305
1953,258924.0491673647
1952,1027.5591825067736
1951,9965.259871507418
1950,903
1949,5998.213692731174
1948,21616
1947,981.9416041102252
1946,349.9452481516644
1945,2165
1944,2158.600620094864
1943,0
1942,40
1941,1333.736269335079
1940,832.9459149194047
1939,2662.9976092995
1938,2924.883792177205
1937,2265.8123133873983
1936,401.21589388906057
1935,1446.1313603041137
1934,1700.9190723281426
1933,9096.39
1932,11976.96
1931,15713.839680970066
1930,2480
1929,249
1928,16799
1927,3603
1926,87375.5
1925,2345.35
1924,29853.32
1923,48692
1922,7215
1921,23042
1920,2772
1919,78509
1918,979
1917,3970
1916,12582
1915,6849
1914,4846
1913,16408
1912,3560
1911,5511
1910,2603
1909,0
1908,0
1907,0
1906,0
1905,0
1903,0
1902,0
1900,0
1898,0
1896,0
1895,0
1878,0
0,19743.248696453982
0,0
